,Hotel_Name,Date,Title,Review,Rating
2068,ibis budget Singapore Bugis, February 2012,It was well worth the money paid.,"We stayed here as part of my company's cost cutting business trip. The hotel is actually an intermediate lot of a high rise 'shophouse' (land is scarce in Singapore!). It's quite a small narrow hotel. The reception was good & there was 3-4 computers nearby for paid Internet. No free Wifi here. The interior deco of the hotel was chic stylish. Outside looks plain though. I stayed in a double bedroom. No windows, the room was small but very clean & modern with a flat screen TV hanging above. Coffee & tea provided. I can't remember if there was a minibar. For the money we paid (if i remembered correctly <$90/night) it was well worth it. Breakfast was provided (2 coupons for each room). Breakfast was basic Chinese style fried rice or fried noodle + toast bread with margarine &",4
4524,ibis budget Singapore Ruby, April 2013,Best Value in Singapore,"Compared to the rest of Southeast Asia, Singapore is not cheap. The Fragrance Hotel chain is one of the best values in Singapore and the Fragrance Ruby is one of the nicer hotels, but be warned--it's not for everyone. First of all, it's located in Geylong, away from the tourist area and right in the heart of the red light district. The area is not dangerous, but male travellers will be propositioned by working women in the area. In my opinion though, the advantages outweigh the disadvantages of staying here. Geylong is a working class area with some of the most delicious food on the planet. It is easily accessible by the MRT Train or bus and hotel rates are much lower than other parts of Singapore. Many budget and business travelers do choose to stay here. Rooms are small, but",5
2483,Ibis Budget Singapore Clarke Quay, November 2016,10 mins to China Town,No window in the room and 20 Sgd to be upgrade with window. Nice swimmming pool and very helpful and friendly staff. 10 mins walk on l'y to china Town and restaurants.5 mins to Clark quay to have a drinks.,5
2971,Ibis Budget Singapore Clarke Quay, September 2012,Small but modern and great location,"Th hotel is in a great location, close to Clarke Quay and the MRT station. Room was modern and clean, though was quite very small for two people and luggage. Air conditioning was great and the staff were very friendly and were great about storing our luggage. Overall, a great place to stay if you just need somewhere to sleep in a good location.",4
4538,ibis budget Singapore Ruby, March 2013,Hotel accomodation,"Nice accomodation for budget travellers. Neat rooms and bathrooms. The hotel is near the MRT, bus stations and convenient stores. Only comment is that it doesn't have a restaurant or a coffee shop inside the hotel. But overall, the hotel is good. Highly recommended!!!",4
47,ibis budget Singapore Pearl, June 2018,Just an average boutique hotel in Geylang 14,Location is strategic especially for local Chinese foods. A good supermarket on the Main Street about 3 minutes from the hotel. Plenty of fresh imported fruits at reasonably prices. For the hotel room (303) very disappointed because the room are infested with little tiny ants. They came out from the cracks on the walls in the room. Service staff are average and not proactive.,3
726,ibis Budget Singapore Ametrine, February 2016,Right for its price,"Room was okay for two people. All the amenities such as towels, toothbrush, coffees, teas, water etc was provided. Although, there were nights that there was no towel provided so we need to ask these from the frontdesk personnel. They were quick and very approachable. Their maintenance guy was also very friendly. Perfect location, hotel is near Chinese, Indian etc restaurants. Wifi was a bit slow. It was tolerable for someone from the Philippines. But for someone who is used to a very high speed internet it will be a headache. Good enough, though.",4
1301,ibis budget Singapore Joo Chiat,ept 2017,Probably wouldn't choose this hotel again,"The hotel was clean and okay, but the small room didn't have a window so the room felt very suffocating. In addition, the location is very very bad. It takes a long time to get to the city and the area where the hotel is located is shady. It was a bit scary to walk to the hotel in the dark.",2
4413,ibis budget Singapore Ruby, December 2013,Below expectation for executive room,"Singapore's budget hotel are known to be small. Even though i stay in the Executive Room, the room , the Batis still small. Bathroom is even worse. Pro: Clean room. it's at 7th floor (high floor), android box (but never figure out how to use it), LAN connection (provide you have laptop and LAN cable). Quite a few coffeeshops and eateries around. Walking distance to the Aljunied MRT. Fast check in/out. Con: Small room even though it is Executive Room. Red light District NOTE: DO NOT book through Agoda, you will not get free wifi.Book directly through the hotel's website instead and the price is the same.",2
788,ibis Budget Singapore Ametrine, February 2015,Good value for money,"Clean room, nice staff. The hotel wasn't busy so it was quiet. Good location, 15 min walk to the Metro station. Also, if you don’t mind to walk, it’s around 45min walk to Little India, a nice way to explore the city. I recommend this hotel.",4
2029,ibis budget Singapore Bugis, March 2013,Well located,"A nice city budget hotel in the middle of Singapore, at a good area also. Close to bugis junction and bugis street where you can buy souvenirs at a good price. Surrounded by shops, mall, food court or restaurant or cafe. Need to increase staff hospitality",4
3463,Ibis Budget Singapore Crystal, November 2014,Stay at Fragrance,"Me, my daughter and my sister stayed here for 2 nights. only 10-15 minutes to reach Marina Bay via taxi. location was good. not very far from metro station. Many restaurants around open till as late as 2 am midnight. We returned late from Santosa Island and looked around for dinner at around 12:30 midnight. premlata.lingwal@gmail.com",4
4306,ibis budget Singapore Ruby, December 2014,Average,"Me and my fiancé stayed here for 3days 2nights. We booked ahead and since our arrival is early morning, we went there to inquire for an early check in. The staffs are courteous and attentive. They answer my queries and assist me when we decided to just leave our luggages for the mean time and start going around since early check in is upon availability and charges applies. We were advised check in starts 3PM but if the room is already available they can accommodate us as early as 2PM. We arrived 2PM then since we had our flight from midnight, we are looking forward to atleast good sleep and rest but they just told us we should wait until 3PM, also, we were told that we will be priority because we were the first one to check in early in the morning 7AM. So we waited half an",4
4656,ibis budget Singapore Ruby, March 2013,tiny but super clean bedding and comfortable,"If you are a size 16 or wheelchair bound pick another hotel. This hotel everything worked and it was an international hub for all ages. It is on a red light street but also has great food to the right near geylang markets. I will be re-booking every trip. Fluffy clean pillows and doonas,powerful air-con. 3 working net stations,wi-fi,cable. Budget price,really good.",5
1818,ibis budget Singapore Bugis, May 2016,Great location,"As the name...Fragrance hotel is greatly located in the middle of the city. As soon as you step up in the entrance, a warm fragrance is welcoming you, personally i loved it! The hotel shall to use the same smeller in the room, it is very refreshing!! Our housekeeper was very efficient. Every Time we came back to the room, it was ready steady cleaned!! The room is quite small if we compare with the website pictures and there is no closet to put your clothes. As a woman, i struggle to put my clothes everywhere. The bed is comfy, TV has good channel, AC tends to be a bit cold and can't be adjust properly but it doesn't bother us. The staff is efficient and helpful. Will recommend this little hotel to others. Great value for money and clean!!!",4
5179,ibis budget Singapore Sapphire, September 2010,could have been ok except...,"We found the rates quite a steal and since I was traveling with budget conscious friend This was a great deal.Of course with the price you can't expect five star service but I believe you can't put a premium on cleanliness whether you stay in a five star hotel or a family run inn. The family room we booked was clean alright at least on the spaces that are noticeable. It was unfortunate that I dropped an earring and was forced to look under my bed and lo and behold, all the dust seemed to have been swept under it. The dust was so thick that it formed in cotton like balls and all of a sudden i felt like I caught a bad case of asthma.I immediately reported it to the front desk but didn't bother anymore checking if it got cleaned. i was just afraid of what i might see... And their",3
328,ibis budget Singapore Pearl, August 2014,"Modern, clean , value for money","I stayed at 'Family room-Loft' with free Wi-fi. The room is only 15m2 with 1 queen size bed on below and single bed on upper loft. The loft style although not really suitable for family with little children really help make this place look a bit spacious.It stated max of 3 adults but actually it's still enough space for 4 adults.But not recommended since the receptionist will ask all guest passport upon check in and sometimes ask your ID if you enter the lobby at odd hours in midnite. It's a newly renovated hotel, therefore everything it's still in good condition. The beds are clean and comfy. They provides 2 pillow for each guest,adequate toiletries like dental kit, shower cap, liquid soap, shampoo, wall mounted hairdryer just beside mirror outside the bathroom, coffee/tea",3
2727,Ibis Budget Singapore Clarke Quay, February 2015,Singapore Fling.,"Cannot fault the Fragrance Riverside Hotel ,convenient location ,light rail,buses, taxis .Front desk were helpfull and fun.They certainly helped our group find our way around.The rooms may be on the small side but they were more than adequate.The pool is awesome.We will definitly recommend The Fragrance Riverside Hotel in Hong Kong street.",4
4072,ibis budget Singapore Ruby, September 2016,Perfect for budget travellers!,Thank you for making our stay convenient and easy... Friendly staff from the reception to the cleaning staff who offered to make our room without us requesting.. The bed was big and on the 7th floor.. Space was small but we can still move around.. Wifi is fast indeed! Hotel is near the bus and train station (Aljunied) as well as hawkers and 711.. Will definitely stay here again for my next Singapore trip.. Thank you!,5
4769,ibis budget Singapore Ruby, March 2013,Budget hotel,"My wife and I stayed at this hotel between the 15th and 18th of March. The front desk staff was very courteous and helpful at all times. The room itself was tiny - just about right for tourists like us who hardly spend any time at the room apart from retiring for the night. The bathroom, well, I haven't seen such a small bathroom in my life but it is sufficient. One of the problems we had was that since there was no ventilation from the bathroom, it would stink really badly - probably the duct was connected to other rooms but that was one door that had to be shut at all times. The hotel is located in the red light area of Singapore but we did not face any problems because of that. On the contrary, it was interesting for us to observe this facet of the city. The hotel is not too",4
4400,ibis budget Singapore Ruby, January 2014,Above my Expectations,"LOCATION:I knew when I booked this hotel that the location would be in Geylang, the red light district. Well, the location is much better than in Manila. There are local dimsum places, Indian restaurants serving curries and rotis, It's a 10 minute walk to Al Juneid MRT and 4 blocks away is a local supermarket. Everything here is convenient. Just don't mind the callgirls on the main road. HOTEL: It's clean, practical and has fast wifi. Service is great and efficient. No problems here. ROOMS: Quite small just like an anteroom, but hey, I saw a similar room at BenCoolen St. and it was the same size except it has a balcony and the price is three x as expensive. For the going rate of hotels here in SG, this hotel ticks all the boxes- comfortable bed, chilling AC, clean bathroom,",4
1177,ibis budget Singapore Imperial,Jul-09,Convenient place to stay,"The staff was very efficient and the hotel is conveniently located close to the MRT station which is a big plus point. The area is quiet. The room was very small and the shower area was only separated by a curtain. However as a tourist, I didn't need to spend too many hours in the room.",4
356,ibis budget Singapore Pearl, August 2014,Good location and clean,Nice clean room with linen changed daily. Stayed in a family room with double bed with single above. Plenty of space for 3 adults. Location about 5 minutes from station and 10 minutes into the centre. Air conditioning and tea making facilities a plus.,5
5020,ibis budget Singapore Sapphire, June 2012,"Cheap, clean, excellent value","Within minutes of booking this hotel I had a confirmation email so contacted them to find out the best way to get there from the airport. Jack, the Manager, immediately responded giving me several options and sending me links, so thanks Jack, great service. Even though the hotel wasn't in the best part of town, we felt totally safe walking around day and night. People were lovely, friendly and very helpful, both in the hotel and the general area. It was cheap, the room was big enough for my sister and I, both in our sixties; had a queen and single beds and was very clean. There was a soap dispenser in the shower; free containers of water, toothbrushes and shower caps daily. Take your own shampoo and conditioner. Best of all we had a kettle with free sachets of coffee, which",5
1529,ibis budget Singapore Joo Chiat,Apr-13,Need improvement hotel condition,The fair-skinned Eurasian girl staff is very friendly always joking around . Don't really get her name. Have to say she very humble and helpful. The quality of the room is very bad a lot of improvement need to be made from the air conditioner to the old school television as there no movie channels only local channel which is not even clear not worth the money. Been to some budget hotel in the red district area which has better tv channel and they install movie channel too even Disney channel. Noisy in the middle of the night . No room service as there will not be any housekeeper during late night to help make up your room.,3
3461,Ibis Budget Singapore Crystal, December 2014,Only Good For An Overnight Stay,"I traveled to SG for a day and needed a cheap hotel to stay. My agent had chosen Fragrance Hotel - Crystal for me. I arrived around 9:30 am at Changi Airport and stayed inside til 11 am. I was aware that the check-in time of the hotel will be at 3 pm. SG Changi Airport was spectacular with so many shops but I was feeling tired and badly needed to rest. I took a taxi from the aiport to the hotel which costs me SGD 17+. I wasn't sure if I reached the hotel as the taxi stopped and had to asked twice if that was the hotel already. The door entrance was so small, I didn't realize that it was the hotel entrance. I paid the taxi and the driver put all my luggage out. I was hoping for a concierge or a bell boy to at least help me with the luggage but no one came. I had to dragged 2 of",3
3264,Ibis Budget Singapore Clarke Quay, March 2012,"Good location, modern, clean but small room","The hotel has a very good location: on 4 minutes walking distance to Clark Quay MRT, which is very centrally. Also China town is close to the hotel. The street is quite and there is a 7eleven shop next door. The family room (for 3 adults) was clean, new, but small. The room had a window, contrary some of the other comments. The shower was not separate of the rest of the bathroom, so the all bathroom gets wet when talking a shower. Internet is on extra charge, breakfast was not included. We enjoyed our 1 night stay in the hotel and recommend this hotel.",4
3794,Ibis Budget Singapore Crystal, February 2009,Not bad,"Sufficiently clean, but lack of refrigerator in room means no cold drinks though they have a common area where you can get hot water. Also no meal service at hotel, so stock up from 7-11 nearby.",3
1053,ibis budget Singapore Imperial,Aug-14,Even you tent would be bigger than this,"I managed to book this hotel through The Indian website Make my trip. The location of the hotel was excellent, just a stones throw away from the Lavender MRT station. That was the only part. The first room they offered me was without any windows, On complaining, they shifted me a different room with a window that was in the bathroom. On mu constant complaining they moved me to a room with a window, but the apart from the bed i could barely fit mu suitcase . The rooms are so small. Even in that small room the AC was not cold enough. They refused to give me free wi-fi, when their website sated that. Their reason was that I had not booked on their site . So much for customer hospitality . Since i had pre paid I could not move out. I guess they realized that and were least",2
3406,Ibis Budget Singapore Crystal, May 2016,It does worth the money,"Considered as new property or just recently renovated. We enjoyed opening promo rate. Staff was helpful during check in and check out. Location is in Geylang, as long as you dont go outside in the evening, the hotel is safe for your children. 10 mnts walking distance to Aljuneed MRT station which is not bad.",4
3698,Ibis Budget Singapore Crystal, June 2009,Nice Deal,"The receptionists are very accommodating. we thought we could check-in at 2 pm yet they provided us rooms as early as 7am. The rooms are neat and clean. Im very particular with bathrooms and I wasn't disappointed with what we had during our stay-OK... Lots of food outlets nearby and SEVEN/Eleven as well. near the red light district of Singapore. But, the place is still safe... Super walking distance from the nearest MRT.",4
3903,ibis budget Singapore Ruby, November 2019,Very tired hotel despite helpful staff,"Book this hotel because of the rate and also not too far from the MRT station, around 10-15 min walk. Several food options nearby. Despite the lobby that looked brand new, my room and the corridor leading to it were extremly tired. There were no safety box in the room. Old bathroom layout with cabin shower and the toilet seat not separated. At check-in, I was informed due to some work in progress there would be no A/C until 7pm, so went to the city for sightseeing. Retuned to hotel at 9pm at the hotel and was told there is still no A/C; The staff at reception desk offered to move to their sister hotel Ibis Budget Emerald which I accepted. They then swiftly contact their sister hotel to get a room, called a taxi (Ibis paid the taxi) and within 15 mins I was at the Ibis Budget",2
4370,ibis budget Singapore Ruby, August 2013,"Souks be fine for a lot of people, not or all!","Slightly run down, small room. It represents value for money though. Comfy bed, small adequate bathroom, quiet and good air con, also conveniently located. Local restaurants that looked quite good very close by, interesting area of Sing to explore. Clean linen, while the room wasn't dirty the walls etc we're scuffed. Fine for a stop over for a lot of people. Shower tiny so if you're on the heavier side, that might be uncomfortable.",3
4923,ibis budget Singapore Sapphire, August 2015,Honeymoon trip,Quite nice hotel with quite nice price in SINGAPORE. The location is around Geylang which means near to many places with delicious food and reasonable prices. The employee is also very helpful and cooperative,3
758,ibis Budget Singapore Ametrine, September 2015,Stay as you want with Good Budget,"Good Accomodation, Good Ambiance, Good Receptionist, Very good in the budget. If you really want to stay in your budget. Its in the middle of the district. Very easy to access anywhere, anyhow and anytime.",5
1515,ibis budget Singapore Joo Chiat,Jul-13,Better than other hotels in the area,"We have stayed in different cheap hotels in Geylang in the past and I have to say this was the best one. The hotel was clean and the reception looked quite nice compared to some old and dark hotels we've seen. The ordinary rooms are all tiny without windows, so we upgraded to a deluxe room for 10$/night extra, which was a great choice since the room felt immediately more spacious with a window. We like Geylang area because of the great restaurants, but it is a long walk to the nearest metro station, so not the most convenient location. The hotel also charges for internet which is quite expensive and can quickly add up to the cost of the night if you stay longer than few days. We also experienced problems with our air con and the hot water in the shower lasted only for few",4
3486,Ibis Budget Singapore Crystal, July 2014,Warning! Nothing like the pictures!!!,"The pictures that advertise the rooms in this hotel are VERY misleading! The pictures make the rooms look nice but honestly they are nothing like it! I never would have booked this hotel if they had shown pictures of how the rooms really look! We walked into a room that was suppose to be non smoking but absolutely stank of smoke! The bed only had a bottom bed sheet on with no sheet to go on top, so we thought maybe the maid had just forgotten to make the bed properly, considering on the photos the bed looks made up to be lovely. We asked at reception and they asked what looked like a care taker to come and have a look for us. He walked in the room and said ""where's the blanket!"" Very rudely. We were a bit shocked at this response as that was what we were asking him! He flung",1
456,ibis Budget Singapore Mount Faber, July 2013,"Brings whole new meaning to the term ""Flea Bag Hotel""","I originally booked this hotel online through the hotel's own website as they offered free internet and a ""free gift"" (it was promoted as a neck pillow). Traveling alone to Singapore on business, I wasn't put-off by small room size as my main priority was cleanliness and location. The one positive thing I can say about this place is the location has good access to a bus stop and the MTR is only about a 5 minute walk. There is also a 24 hour 7-11 right outside. The room was indeed extremely small with just enough room for the bed. The bathroom was a combination toilet and shower in a room the size of an old school phone booth. Every time I went into the bathroom, I noticed some fleas jumping onto me, but couldn't see where they were coming from. I later noticed they were nesting",1
167,ibis budget Singapore Pearl, June 2015,Worth every penny,"Stayed at the superior room with wifi for 3 days. It's a newly refurbished hotel and it was delightful! Not only was it clean, the staff was very friendly. The bed was just nice although the room is quite small for more than 2 person. I would suggest you to get a bigger room if there's more than 2 person. The MRT is about 10 - 15 minutes away by walking. And if you don't mind the Geylang area then this hotel should be fine for you. Although try not to walk alone late at night as prostitutes are always at the walkway of the shops. Oh and they're also there in bright day light.. Overall, the hotel was excellent for a budget traveller and I would say that I would return to this hotel if I'm coming back to Singapore.",5
3590,Ibis Budget Singapore Crystal, November 2011,Terrible,"This place is a knocking shop in the middle of Singapore's red light district. Our bathroom had a pipe pouring boiling hot water from the shower in the room above through their drain. We were kept awake all night by shouting and banging from rooms in the corridor. We spent as much time away from the hotel as we could, and really, late at night, the only safe way to get back would be to get a taxi to drop you at the door. Please don't stay here.",1
598,ibis budget Singapore Emerald, March 2017,Nice hotel,"This hotel is very nice location is in geylang it’s close anywhere ,room was nice and price it’s not really expensive,but the think to make a disappointed is the front office staff is not really a friendly .",3
4128,ibis budget Singapore Ruby, January 2016,Just average,"The room is so small I can barely move. They have a problem with the air conditioner, I want to complain but hubby said no need so I said nothing since we only there for sleeping after a tired day. The hot water is okay, the bed is okay all other is okay except 2 things above. Fast check in and check out. Wifi only available in lobby area, sadly but true.",3
437,ibis Budget Singapore Mount Faber, November 2014,Best Fragrance Hotel Branch,"I absolutely love Fragrance Hotel Royal! It's very near to Harbourfront Station and Vivo City and it also has a bus stop in front of the hotel. There are convenience stores and a hawker place that is within the vicinity. The staff, especially the front desk are very polite and friendly to their customers, they always greet their guests whenever they enter the hotel. (Special shout out to Maureen! Very accommodating.) Good wifi connection. Clean rooms. Only problem was there was no fridge in the room and the bathroom is quite small. But overall my stay is great.",4
1425,ibis budget Singapore Joo Chiat,Jun-15,"Very clean, and the frontdest very friendly","Must be choose this hotel because its very clean, the front dest is very friendly...when ur going out and enjoy the places outside go jalan jalan, best thing is u can relax and make a good sleep with the bed and cooled airconditon ...and no one will disturb while ur relaxing inside the and quite outside too...",5
3178,Ibis Budget Singapore Clarke Quay, May 2012,value of money,"Near to Central shopping mall and MRT, just across the street. Easy to find food in the Central mall. Nice little lobby. but dont have line 4 babystroller to enter the lobby. No refrig in standar room. Check in take about 2 hours, and must bring our luggage ourselves to our room, also when we check out.. New hotel, nice modern design. Jet and hot shower, but dont have shower curtain, so its wet all over the bathroom. Taxi dont know this hotel, even we show hotel name card maybe bcause its new hotel. Very small room, dont have place to put our luggage without stepping on it. Free internet on the lobby for 15 minutes.",3
113,ibis budget Singapore Pearl, September 2016,Value for money,"Location is a bit far from mrt, best way to travel is by bus.. Just a 1 min walk to the bus stop. Room is small, but decent, fit 2 people just nicely. Tv channel is quite limited, but here to explore Sg so no harm to it. Internet speed is quite ok at 1Mbps.",4
2404,Ibis Budget Singapore Clarke Quay, June 2017,Very small but good location,"This is very compact hotel. We had a Executive Double Room on second floor and it was so tiny. I have never experienced a bathroom where there was a shower in the corner consisting of about 9 tiles, no shower screen and everything got wet. Rooms that had windows looked on to other buildings and you had to keep the curtains closed for privacy.To enter or leave the hotel there were about 10 steep steps, no ramp to get your luggage up and from what I saw most people had large suitcases, perhaps like us had travelled for many weeks before visiting Singapore on the way home. Found this a difficult process. Found the night staff to be much more helpful than the day staff who appeared quite lazy. In saying this, the location was only a 5 minute walk to Boat and Clarke Quays,",3
8,ibis budget Singapore Pearl, December 2019,Wifi sucks,Rooms are neat and tidy. Hotel staff was not friendly (malay guy). Frequently book this hotel from the owner of Fragrance change to Ibis but still no changes with their wifi connection. Wifi is totally sucks keep on asking us to login back and the network didnt work well.,3
728,ibis Budget Singapore Ametrine, August 2015,Cheap place to stay..,"Our stay here was for one night stay for a stopover. Of course we've got it because of the price but be warned, you get what you pay for, cheap price for a cheap hotel, don;t expect luxury here, not even a decent state... We won't be coming again unless it upgrades in many areas, I wouldn't even say is very clean..",3
985,ibis budget Singapore Imperial,Aug-15,"accessible location, pro active front office team, clean room","first of all thank you for fragrance imperial, we have a great time staying there, thank you to mr. lee for assisting us the best way he can, and his front desk team who was fantastic, the cafe staff were also awesome and same as the housekeeping, specially the uncle at 3rd floor who clean our room daily, you made a fantastic job! the hotel is located near the lavender train station, which make it possible for us to go from one end of singapore to another, it closes at about 1130pm and open around 6am, taxi is also vailable 24 hours and the bus stop are just about few minutes walk from the hotel, if you love to explore singapore this is the best place to stay! but i just find the room really small (sigh) but the good thing was the housekeeping uncle was really good! his name is",4
3405,Ibis Budget Singapore Crystal, June 2016,Worth & Pleasant stay,Booked this hotel at opening promo rate. Hotel can be reach by bus with just 2 minutes walk. Clean and modern design newly renovated rooms compared with others Fragrance Hotel. Staff was helpful during check in and check out. Recommended stay.,4
3054,Ibis Budget Singapore Clarke Quay, March 2012,"Good location, modern, clean but small room","The hotel has a very good location: on 4 minutes walking distance to Clark Quay MRT, which is very centrally. Also China town is close to the hotel. The street is quite and there is a 7eleven shop next door. The family room (for 3 adults) was clean, new, but small. The room had a window, contrary some of the other comments. The shower was not separate of the rest of the bathroom, so the all bathroom gets wet when talking a shower. Internet is on extra charge, breakfast was not included. We enjoyed our 1 night stay in the hotel and recommend this hotel.",4
4295,ibis budget Singapore Ruby, February 2014,great stay and value for money,"the room is simple and though not that spacious is quiet comfortable. everything looks new and clean and has most of the basic amenities of a hotel (e.g. conplimentary tea, coffee making facilities, hairdryer, etc). the front desk staff is kind, helpful and professional. the stay was pleasant and if they have any drawbacks, it's the location of the hotel which is a bit far from the mrt stations and that it's in the middle of a red light district.",4
2411,Ibis Budget Singapore Clarke Quay, June 2017,Very budget hotel,"Arrived from a long flight from Amsterdam. Arrived at the hotel at 6:00 am. Was told we could not check in till 3 pm. The girl booking us in was not accommodating at all, must have been too early for her. Where as when we arrived in London at 6:00 am they advised us we can go to our room. About an hour later after just freshening up at the toilet upstairs another receptionist advised to comeback at 12 they might have a room ready. We went for a walk to a very hot humid morning, came back at the hotel at 11:00 to see if they had any rooms available. The girl at reception advised that since it was only 11:00am we couldn't get a room but if we paid an extra $40 for a deluxe room we can have one. We decided to do this as we were desperate for a shower and some rest. Well! When we",1
1583,ibis budget Singapore Joo Chiat,Dec-09,Hotel condition suitable with budget hotel concept,"I stayed here 4 days 3 nights with my husband. We chose this branch on top of other branches because my husband had to work at Kallang, which is just nearby this area. Overall, for a BUDGET HOTEL, the room is clean, everything is clean, the cleaner made our room everyday, toilet is clean, air-cond is working, hot shower is working, Yes, the room is small, but I've stayed in a 4 star hotel at Clarke Quay, it's small as well. The only downside was that the pillow is too soft. Bus stop is just in front of the hotel, taxis are plenty available. If you want the closest MRT, just get a bus in front of the hotel and stop at Lavender Stn. I've stayed at worse budget hotel, this would be the best of all.",5
4702,ibis budget Singapore Ruby, February 2013,Good if you are not alone,"Stayed 2 nights there, the room is quite small but really fresh, clean and comfortable. GSO serves us very well. I went there with my friends in total 6 persons. I face some problems like out of service telephone, no voice from TV. But those things are acceptable except the LOCATION!!. I'm not going to recommend this if you go alone. I know the around the hotel there are many prostitutes before I went but it is more than I though. You can find them even in front of the hotel they work even in daytime and plus many more of them in nighttime. If you come with your friend it will be ok they will only look at you but not approach. Anyway good point of location is it only 600 metres from SMRT.",3
5123,ibis budget Singapore Sapphire, June 2010,Basic - but you get what you pay for,"The hotel was pretty basic and the room was tiny, but we felt that it was what we paid for. It's a little out of the city centre, but the train station is a 10 minute walk away, so getting around Singapore was no problem at all. There were places to eat at the end of the road and we didn't see any hookers when we were walking around at nighttime (which is apparently what Geylang is known for).",3
